,name,geometry,maxspeed
70,Rua João Chagas,"LINESTRING (-8.624935900000001 40.6949164, -8.6245575 40.6949643, -8.624193999999999 40.6949975, -8.623995499999999 40.6950015, -8.623656199999999 40.6949928, -8.622101900000001 40.6950219, -8.6206803 40.6950869, -8.6175569 40.6951677, -8.6164036 40.6952043, -8.6156311 40.6951921, -8.6140606 40.6952252, -8.6133136 40.6952694, -8.612830900000001 40.6953182, -8.6126766 40.6953066, -8.612508999999999 40.6952978, -8.6123212 40.6953304, -8.612085199999999 40.6953426, -8.6118331 40.6953426, -8.6116829 40.6953304, -8.6114213 40.6953472, -8.6112269 40.6953548, -8.611072699999999 40.6953513, -8.610824600000001 40.6952978, -8.610663600000001 40.6952775, -8.6103418 40.6952775, -8.609295700000001 40.6952409, -8.6089363 40.6952083, -8.608689500000001 40.6951636, -8.608534000000001 40.6951148, -8.6084642 40.6950579, -8.6082725 40.6948751, -8.607500099999999 40.6938338, -8.607326799999999 40.6936384, -8.607182 40.6935286, -8.607053199999999 40.6934513, -8.6068762 40.6933618, -8.6066342 40.6931688)",50
71,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5930921 40.6850846, -8.592986099999999 40.6851099)",50
72,Rua Pedro Álvares Cabral,"LINESTRING (-8.5930921 40.6850846, -8.5929368 40.6847853, -8.5927785 40.6844599, -8.592706099999999 40.6843236, -8.592679 40.6841388, -8.5926951 40.6840168, -8.5927785 40.6838538, -8.592950200000001 40.6835751, -8.593146000000001 40.68327, -8.593253300000001 40.6831297, -8.5934086 40.6830059, -8.593484 40.6829425, -8.5935322 40.6828714, -8.5935188 40.6827981, -8.5934732 40.6826761, -8.5934679 40.6826069, -8.5934974 40.6825378, -8.5935883 40.6824811, -8.5938192 40.6824117, -8.5939987 40.6823611, -8.5940765 40.6823599)",50
73,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5930921 40.6850846, -8.5935966 40.6849724, -8.594072799999999 40.684859, -8.5946371 40.6847246, -8.5956057 40.6844965, -8.5959 40.6844035, -8.5965001 40.6841955)",50
74,Rua do Bairro do Vouga,"LINESTRING (-8.638961 40.6462368, -8.6387842 40.6465403)",50
75,Rua do Bairro do Vouga,"LINESTRING (-8.638961 40.6462368, -8.6390923 40.6458871, -8.639280599999999 40.6453716, -8.6392781 40.6453047, -8.639220399999999 40.6452577, -8.639129799999999 40.6452043)",50
76,,"LINESTRING (-8.638961 40.6462368, -8.638825900000001 40.646421, -8.6387371 40.6465677, -8.6386202 40.6466973, -8.6385179 40.6468329, -8.638415699999999 40.6469907, -8.637984100000001 40.6470222, -8.637362599999999 40.6470683, -8.636664700000001 40.6471245, -8.6357914 40.6471859, -8.635054200000001 40.6472345, -8.634873600000001 40.6472463, -8.6348337 40.6472476, -8.6340764 40.6472985, -8.633952799999999 40.6473096, -8.633498700000001 40.6473607, -8.6331031 40.6474179, -8.6329368 40.6474631, -8.632505200000001 40.6475893, -8.631114999999999 40.6480736, -8.630394600000001 40.6483234, -8.6302609 40.6483661, -8.6300709 40.6484164, -8.6298844 40.6484479, -8.629861099999999 40.648465)",50
77,,"LINESTRING (-8.6299633 40.6421924, -8.6305817 40.6415645, -8.6307268 40.6414231, -8.630882099999999 40.6412348, -8.6309787 40.6410883, -8.630989700000001 40.6409712, -8.6309304 40.6408603, -8.630131799999999 40.6404135)",50
78,Rua de Viseu,"LINESTRING (-8.635164100000001 40.6464595, -8.635084900000001 40.6464877)",50
79,Rua Padre José Maria Taborda,"LINESTRING (-8.635164100000001 40.6464595, -8.6351145 40.6463649, -8.634986400000001 40.6460696, -8.634968499999999 40.6460165, -8.634987799999999 40.6458996, -8.635052399999999 40.6456981, -8.6350759 40.6456003, -8.6351168 40.6454478)",50
80,Rua Pedro Álvares Cabral,"LINESTRING (-8.594586400000001 40.6823222, -8.5947926 40.6822574, -8.594919000000001 40.6822042, -8.595053099999999 40.6821005, -8.595235499999999 40.6819642, -8.595317 40.6819142)",50
81,Rua Pedro Álvares Cabral,"LINESTRING (-8.594586400000001 40.6823222, -8.594462999999999 40.6823486, -8.594143799999999 40.6823588, -8.5940765 40.6823599)",50
82,Rua Primeiro de Dezembro,"LINESTRING (-8.594586400000001 40.6823222, -8.5946424 40.6823855, -8.5947175 40.6824689, -8.594889200000001 40.6826296, -8.5950653 40.6828071)",50
83,Rua de Sá,"LINESTRING (-8.643593600000001 40.6464848, -8.643497 40.6465136)",50
84,Avenida Nossa Senhora da Alegria,"LINESTRING (-8.643593600000001 40.6464848, -8.643508499999999 40.6464164, -8.643049 40.6460473)",50
85,Rua das Russadinhas,"LINESTRING (-8.599340099999999 40.6802792, -8.600173399999999 40.6809106, -8.600235100000001 40.6809593, -8.60033 40.6810341)",50
86,Rua das Russadinhas,"LINESTRING (-8.599340099999999 40.6802792, -8.599250400000001 40.6803495, -8.599097799999999 40.6804325, -8.5988001 40.6802108, -8.5984943 40.6799667, -8.5982529 40.6798081, -8.597861099999999 40.6796985)",50
87,"['Rua Sector 11', 'Travessa das Russadinhas']","LINESTRING (-8.599340099999999 40.6802792, -8.599489200000001 40.6801623, -8.6002539 40.6795925, -8.600452300000001 40.6797715)",50
88,Rua dos Bombeiros da Celulose,"LINESTRING (-8.5861328 40.6806832, -8.5861666 40.680801, -8.586445599999999 40.6817713, -8.5867728 40.6830425, -8.586963300000001 40.6837646, -8.587081299999999 40.6841388, -8.5872207 40.6844358)",50
89,,"LINESTRING (-8.5861328 40.6806832, -8.5861629 40.680672, -8.5861847 40.6806546, -8.586197500000001 40.6806326, -8.586199799999999 40.6806087, -8.5861974 40.6805986)",50
90,Rua Pedro Álvares Cabral,"LINESTRING (-8.595317 40.6819142, -8.595235499999999 40.6819642, -8.595053099999999 40.6821005, -8.594919000000001 40.6822042, -8.5947926 40.6822574, -8.594586400000001 40.6823222)",50
91,Rua Manuel Soares de Almeira,"LINESTRING (-8.595317 40.6819142, -8.595371999999999 40.6819014, -8.595817200000001 40.681753, -8.5964261 40.6815577, -8.596587 40.6814458, -8.5968664 40.6810957, -8.597124300000001 40.680775)",50
92,"['Largo 5 de Outubro', 'Rua Conselheiro Nunes da Silva']","LINESTRING (-8.595317 40.6819142, -8.595037 40.6814844, -8.5949112 40.6813833, -8.5948592 40.6813765)",50
93,Rua Conselheiro Nunes da Silva,"LINESTRING (-8.595317 40.6819142, -8.5954712 40.6821423, -8.595656200000001 40.6824742)",50
94,Rua Doutor Alberto Souto,"LINESTRING (-8.6012377 40.6880306, -8.6005381 40.6884446, -8.6002887 40.6885093, -8.600107899999999 40.6885573, -8.599937300000001 40.6886671, -8.5997415 40.6887534, -8.599660999999999 40.6887493, -8.5995001 40.6887005, -8.5993891 40.6887129, -8.5987759 40.6890828, -8.5986685 40.6891561)",50
95,Rua Tenente Coronel José Afonso Lucas,"LINESTRING (-8.6012377 40.6880306, -8.6015759 40.6881831, -8.601702599999999 40.6882499, -8.6022575 40.6885828)",50
96,Rua Tenente Coronel José Afonso Lucas,"LINESTRING (-8.6012377 40.6880306, -8.6011337 40.6879794, -8.601066400000001 40.6879339, -8.600750100000001 40.6876635, -8.6005962 40.6875291, -8.6004083 40.6873861, -8.5998825 40.6868724)",50
97,Rua Doutor Tomás de Aquino,"LINESTRING (-8.6012377 40.6880306, -8.601330000000001 40.6879616, -8.6020691 40.6871995, -8.602649 40.6866015, -8.602683799999999 40.6865514)",50
98,,"LINESTRING (-8.6022575 40.6885828, -8.602373099999999 40.6887665, -8.6025072 40.6889251, -8.602574000000001 40.6890791, -8.602649100000001 40.6892987)",50
99,Rua Tenente Coronel José Afonso Lucas,"LINESTRING (-8.6022575 40.6885828, -8.601702599999999 40.6882499, -8.6015759 40.6881831, -8.6012377 40.6880306)",50
100,Rua Nossa Senhora das Necessidades,"LINESTRING (-8.622421900000001 40.6548866, -8.623142100000001 40.6544511)",50
101,,"LINESTRING (-8.622421900000001 40.6548866, -8.622456700000001 40.654926, -8.6224787 40.6549503, -8.622720899999999 40.6552179, -8.6230481 40.6555717, -8.6234453 40.6560195, -8.623544900000001 40.656155, -8.623574 40.6562188, -8.6235833 40.6562719, -8.6235845 40.6563185)",40
102,Rua Nossa Senhora das Necessidades,"LINESTRING (-8.622421900000001 40.6548866, -8.620877699999999 40.6557881, -8.6192998 40.6567093, -8.618601699999999 40.6571168, -8.615995399999999 40.6586403, -8.615784 40.6587629, -8.6154666 40.6589247, -8.6153668 40.6589113)",50
103,Rua Hintze Ribeiro,"LINESTRING (-8.6416068 40.6467807, -8.6415712 40.6467828, -8.641437399999999 40.6467909, -8.641125300000001 40.6468231)",50
104,Rua Hintze Ribeiro,"LINESTRING (-8.6416068 40.6467807, -8.6417076 40.6467754, -8.6417746 40.6467713)",50
105,Rua Hintze Ribeiro,"LINESTRING (-8.641125300000001 40.6468231, -8.6405306 40.6468667)",50
106,Rua Hintze Ribeiro,"LINESTRING (-8.641125300000001 40.6468231, -8.641437399999999 40.6467909, -8.6415712 40.6467828, -8.6416068 40.6467807)",50
107,Rua do Magistério Primário,"LINESTRING (-8.6405306 40.6468667, -8.640525 40.646912, -8.640501199999999 40.6469583, -8.6399937 40.6477448, -8.6399512 40.6478092, -8.6399387 40.6478286)",50
108,Rua Hintze Ribeiro,"LINESTRING (-8.6405306 40.6468667, -8.6403987 40.6468759, -8.6389979 40.6469737, -8.6389581 40.6469764, -8.6389043 40.6469802)",50
109,Travessa do Capitão Lebre,"LINESTRING (-8.6528171 40.6165828, -8.654031700000001 40.6160682)",50
110,Rua da Agra,"LINESTRING (-8.6528171 40.6165828, -8.6529171 40.6166623, -8.6531073 40.6168134, -8.653485 40.6171135)",50
111,Rua da Agra,"LINESTRING (-8.6528171 40.6165828, -8.652268599999999 40.6161904, -8.651718799999999 40.6158524, -8.651477399999999 40.6156468, -8.651252100000001 40.6154391, -8.650978500000001 40.6151744)",50
112,Travessa do Capitão Lebre,"LINESTRING (-8.654031700000001 40.6160682, -8.6528171 40.6165828)",50
