,my_id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
59,4099,384987412,1650475444,0,152213787,Rotunda da Junqueira,50,residential,True,28.566999999999997,"LINESTRING (-8.6111738 40.6640339, -8.6112383 40.6640427, -8.611306600000001 40.6640405, -8.6113724 40.6640269, -8.611432000000001 40.6640027, -8.6114841 40.6639684)",2,EN 109,EN 16,,roundabout,,
60,4100,384987412,1712297735,0,"[313505165, 547259807]",Rua da Repúbica,50,residential,False,549.261,"LINESTRING (-8.6111738 40.6640339, -8.611030899999999 40.6642314, -8.610925 40.6643779, -8.610636700000001 40.6647873, -8.609870600000001 40.6658222, -8.609541699999999 40.6662664, -8.609359100000001 40.6665174, -8.609021200000001 40.6669559, -8.6081734 40.6679475, -8.6079417 40.6682054, -8.607907600000001 40.668243, -8.6078679 40.6682861)",2,EN 109,EN 16,,,,
61,4150,1712918844,5287687111,0,547259811,Rua da República,50,residential,False,14.794,"LINESTRING (-8.6072828 40.6689186, -8.607383 40.6688094)",3,EN 109,EN 16,,,,
62,4152,1712918844,1711773379,0,559777267,Rua da República,50,residential,False,1140.4880000000003,"LINESTRING (-8.6072828 40.6689186, -8.6072439 40.6689624, -8.6066302 40.6696119, -8.606567200000001 40.6696806, -8.6062612 40.6700786, -8.605969699999999 40.6705284, -8.605535100000001 40.6712731, -8.605239600000001 40.6716874, -8.6044324 40.6725724, -8.603765299999999 40.6734422, -8.6030528 40.674369, -8.602767099999999 40.6746783, -8.602203599999999 40.6751228, -8.6015757 40.6754533, -8.600705100000001 40.6759392, -8.599325 40.677048)",2,EN 109,EN 16,,,,
63,4351,1468363325,1712929714,0,240178185,Rua da República,50,residential,False,231.86899999999997,"LINESTRING (-8.5929188 40.6794231, -8.5930778 40.6793955, -8.5952865 40.6790124, -8.5955987 40.6789565)",2,EN 109,EN 16,,,,
64,4352,1468363325,5695373881,0,549517177,Rua 31 de Janeiro,50,residential,False,382.945,"LINESTRING (-8.5929188 40.6794231, -8.5927179 40.6794587, -8.5896942 40.679995, -8.588498599999999 40.6802128)",2,EN 109,EN 16,,,,
65,4577,7688745758,6831575071,0,135660327,,50,residential,True,26.204,"LINESTRING (-8.6505797 40.6234941, -8.6505411 40.6235409, -8.650468699999999 40.6236286, -8.6503841 40.623671)",2,EN 109,,,,,
66,4654,1330213757,399777640,0,"[135672089, 152282268, 152282271]",,50,residential,True,146.573,"LINESTRING (-8.643949299999999 40.6296911, -8.644045999999999 40.6296226, -8.6442196 40.6295019, -8.645044199999999 40.6289228, -8.645239399999999 40.6288096)",1,EN 109,yes,,,,
67,4707,1330213783,1330213757,0,"[507548441, 135672089, 135672086]",,50,residential,True,304.421,"LINESTRING (-8.6413259 40.6315702, -8.6418304 40.6312118, -8.6422928 40.6308757, -8.6427228 40.6305699, -8.643617900000001 40.6299254, -8.643949299999999 40.6296911)","['1', '2']",EN 109,yes,,,,
68,4734,3599610795,4736412821,0,480672088,,50,residential,True,7.689,"LINESTRING (-8.655062900000001 40.6182913, -8.655063200000001 40.6183086, -8.6550707 40.6183249, -8.6550847 40.6183385, -8.6551037 40.6183481)",,EN 109,,roundabout,,,
69,4773,5287687111,1712918844,0,547259811,Rua da República,50,residential,False,14.794,"LINESTRING (-8.607383 40.6688094, -8.6072828 40.6689186)",3,EN 109,EN 16,,,,
70,4774,5287687111,1712918757,0,547259812,Rua da República,50,residential,False,9.24,"LINESTRING (-8.607383 40.6688094, -8.607448700000001 40.6687429)",3,EN 109,EN 16,,,,
71,4832,6806729735,1272475180,0,"[135660324, 135660325, 507548437, 507548438, 507548439, 726000989]",,50,residential,True,450.00499999999994,"LINESTRING (-8.6486901 40.6256812, -8.648611799999999 40.6257629, -8.647920900000001 40.6265434, -8.647743999999999 40.6267403, -8.6475033 40.6270081, -8.647336900000001 40.6272015, -8.6470255 40.6274432, -8.6469448 40.6274981, -8.645941799999999 40.6282236, -8.6455801 40.6284853, -8.6452265 40.6287268)","['1', '2']",EN 109,,,,yes,
72,4983,390280425,1489699013,0,30008054,,50,residential,True,15.055,"LINESTRING (-8.6316752 40.6403543, -8.6315071 40.6403997)",3,EN 109,,roundabout,,,
73,5148,390280658,1340357470,0,30008054,,50,residential,True,27.46,"LINESTRING (-8.6311423 40.6407203, -8.631107999999999 40.6408423, -8.6311094 40.6409645)",3,EN 109,,roundabout,,,
74,5213,1702680112,390280425,0,549319296,,50,residential,True,306.85400000000004,"LINESTRING (-8.633816400000001 40.6381398, -8.633668999999999 40.6382956, -8.633580200000001 40.6383982, -8.6329405 40.6391026, -8.6325416 40.63954, -8.632464499999999 40.6396245, -8.632398999999999 40.6396963, -8.632338600000001 40.6397646, -8.6322837 40.6398216, -8.6322326 40.6398747, -8.632180399999999 40.6399289, -8.6321291 40.6399821, -8.6320178 40.6400971, -8.6318941 40.6402406, -8.6317909 40.6403027, -8.6316752 40.6403543)",2,EN 109,,,,,
75,5337,1711773379,1712918844,0,559777267,Rua da República,50,residential,False,1140.4880000000003,"LINESTRING (-8.599325 40.677048, -8.600705100000001 40.6759392, -8.6015757 40.6754533, -8.602203599999999 40.6751228, -8.602767099999999 40.6746783, -8.6030528 40.674369, -8.603765299999999 40.6734422, -8.6044324 40.6725724, -8.605239600000001 40.6716874, -8.605535100000001 40.6712731, -8.605969699999999 40.6705284, -8.6062612 40.6700786, -8.606567200000001 40.6696806, -8.6066302 40.6696119, -8.6072439 40.6689624, -8.6072828 40.6689186)",2,EN 109,EN 16,,,,
